UUID,id,NEW_title,NEW_abstract,NEW_keywords_theme,NEW_keywords_place,NEW_topic_categories,NEW_link_download,NEW_link_information,NEW_link_service_esri,NEW_link_service_wms,NEW_distribution_format,NEW_date_publication,NEW_date_revision,originator,publisher,datasetURI
b21ab714-41fd-451f-8300-a3c8f64785e8,840921,Jefferson Chalmers,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Jefferson Chalmers
14fad12f-12c4-430c-831f-27df6e28dca0,840922,InnovationDistrict,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Government/Innovation-District/vfqv-c584,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,InnovationDistrict
3cebd56f-06d8-4676-b14d-eaf4d8b4ed6c,840923,House2011,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,House2011
4a89e206-5650-4dd8-a55a-421ae679c3dc,840916,Near East Side,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Near East Side
477302f5-763a-4e4c-a127-6afaa8e95390,840917,MorningSide EEV,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,MorningSide EEV
828368f5-3bec-41cb-9433-b5be478a5a2e,840918,MajorStreetNames,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Transportation/Major-Street-Names/w6n5-qfqz,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,MajorStreetNames
3b8593f6-796c-4522-af52-e06df686e369,840919,LocHistDist_2016_region,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Government/Local-Historic-Districts/hj4t-4mea,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,LocHistDist_2016_region
393b59f4-8e2a-4db5-884a-f99f14c08d41,840912,Northwest,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Northwest
c7f77f97-9c74-40c0-ba19-a45e30fe5a63,840913,Northend,,,"Detroit, Michigan",,,,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,Northend
743203f2-f5b8-4958-bf9b-00c6d9354979,840914,NonMotorized_routes,,,"Detroit, Michigan",,,https://data.detroitmi.gov/Transportation/Non-motorized-Routes/g6eq-mhyv,,,Shapefile shapefile,,,,City of Detroit Open Data Portal,NonMotorized_routes
