UUID,id,NEW_title,NEW_abstract,NEW_keywords_theme,NEW_keywords_place,NEW_topic_categories,NEW_link_download,NEW_link_information,NEW_link_service_esri,NEW_link_service_wms,NEW_distribution_format,NEW_date_publication,NEW_date_revision,originator,publisher,datasetURI
http://gis.michigan.opendata.arcgis.com/datasets/5b7e1cb0e5b84b9baacc7ac516d4f5b0_7,168564,"Wildfire Point Locations: Michigan, 2015",Points generated from the FireMaster table x/y coordinates. These represent 2014 wildfires greater than 10 acres occuring on DNR Land.,wildfire###dnr###fire,Michigan,environmentlocation,http://gis.michigan.opendata.arcgis.com/datasets/5b7e1cb0e5b84b9baacc7ac516d4f5b0_7.zip,http://gis.michigan.opendata.arcgis.com/datasets/5b7e1cb0e5b84b9baacc7ac516d4f5b0_7,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestry/MapServer/7,,Shapefile shapefile,5/12/15,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,WildfirePointLocations
http://gis.michigan.opendata.arcgis.com/datasets/fa649af4d96a4766859f8a822d6d36d3_3,168563,"Villages: Michigan, 2015",Villages from the Michigan Geographic Framework (MGF) base map. ,boundaries###michigan geographic framework###michigan###mgf,Michigan,boundaries,http://gis.michigan.opendata.arcgis.com/datasets/fa649af4d96a4766859f8a822d6d36d3_3.zip,http://gis.michigan.opendata.arcgis.com/datasets/fa649af4d96a4766859f8a822d6d36d3_3,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/michigan_geographic_framework/MapServer/3,,Shapefile shapefile,3/3/15,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,Villages
http://gis.michigan.opendata.arcgis.com/datasets/1f55cd0e81184687a4975619829da561_3,168562,"Wellhead Protection Areas: Michigan, 2015",Wellhead protection areas represent the land surface area that contributes ground water to wells serving public water supply systems throughout Michigan. The areas define a landscape in which management strategies are employed to protect public water supply wells from ground water contamination. ,hydro###groundwater###michigan###public health###deq,Michigan,healthgeoscientificInformationinlandWaters,http://gis.michigan.opendata.arcgis.com/datasets/1f55cd0e81184687a4975619829da561_3.zip,http://gis.michigan.opendata.arcgis.com/datasets/1f55cd0e81184687a4975619829da561_3,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/public_health/MapServer/3,,Shapefile shapefile,3/3/15,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,WellheadProtectionAreas
http://gis.michigan.opendata.arcgis.com/datasets/04966a515fd3413c8b9ab36376466748_21,168561,"Watershed Boundary - 8 Digit: Michigan, 2015","This dataset at 1:24,000 scale is a greatly expanded version of the hydrologic units created in the mid-1970's by the U.S. Geological Survey under the sponsorship of the Water Resources Council. The WBD is a complete set of hydrologic units from new watershed and subwatesheds less than 10,000 acres to entire river systems draining large hydrologic unit regions, all attributed by a standard nomenclature. ",hydro###michigan###deq,Michigan,geoscientificInformationinlandWaters,http://gis.michigan.opendata.arcgis.com/datasets/04966a515fd3413c8b9ab36376466748_21.zip,http://gis.michigan.opendata.arcgis.com/datasets/04966a515fd3413c8b9ab36376466748_21,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/21,,Shapefile shapefile,10/13/15,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,WatershedBoundary8Digit
http://gis.michigan.opendata.arcgis.com/datasets/48e1e6e762f644a09f00c99ae794f69a_20,168560,"Watershed Boundary - 12 Digit: Michigan, 2015","This dataset at 1:24,000 scale is a greatly expanded version of the hydrologic units created in the mid-1970's by the U.S. Geological Survey under the sponsorship of the Water Resources Council. The WBD is a complete set of hydrologic units from new watershed and subwatesheds less than 10,000 acres to entire river systems draining large hydrologic unit regions, all attributed by a standard nomenclature. Development of the Watershed Boundary Dataset started in the early 1990's and has progressed to the format and attribution that is now being distributed. The delineation and attribution was done on a state basis using a variety of methods and source data. Each state HU dataset has gone through an extensive quality review process to ensure accuracy and compliance to the Federal Standard for Delineation of Hydrologic Unit Boundaries before and during submittal to USDA-NRCS National Geospatial Management Center (NGMC). ",hydro###michigan###deq,Michigan,geoscientificInformationinlandWaters,http://gis.michigan.opendata.arcgis.com/datasets/48e1e6e762f644a09f00c99ae794f69a_20.zip,http://gis.michigan.opendata.arcgis.com/datasets/48e1e6e762f644a09f00c99ae794f69a_20,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/20,,Shapefile shapefile,10/13/15,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,WatershedBoundary12Digit
http://gis.michigan.opendata.arcgis.com/datasets/f2443aafaaa641c79b574728665b47e4_16,168559,"Watershed Basins: Michigan, 2015",This dataset contains information on Michigan's watershed basins.,hydro###michigan,Michigan,geoscientificInformationinlandWaters,http://gis.michigan.opendata.arcgis.com/datasets/f2443aafaaa641c79b574728665b47e4_16.zip,http://gis.michigan.opendata.arcgis.com/datasets/f2443aafaaa641c79b574728665b47e4_16,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/16,,Shapefile shapefile,3/3/15,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,WatershedBasins
http://gis.michigan.opendata.arcgis.com/datasets/ed9fcf847a044091be665e6073c49582_4,168565,"Topo Quad Boundaries: Michigan, 2015","The 1:24,000-scale (24K) U.S. Geological Survey (USGS) quadrangle boundary data set contains the following information. (1) The approximate boundaries of the various 24K USGS quadrangles. (2) The names and indexing codes associated with each 24K quadrang",michigan###topography###boundaries###elevation,Michigan,elevationboundaries,http://gis.michigan.opendata.arcgis.com/datasets/ed9fcf847a044091be665e6073c49582_4.zip,http://gis.michigan.opendata.arcgis.com/datasets/ed9fcf847a044091be665e6073c49582_4,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/elevation/MapServer/4,,Shapefile shapefile,3/3/15,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,TopoQuadBoundaries
http://gis.michigan.opendata.arcgis.com/datasets/403b88ca6cc443a59e54eb28e4f4de98_5,168569,"State Forest, Wildlife, and Game Areas Open to Hunting: Michigan, 2015","State Forests and State Wildlife and Game Areas Open to Hunting includes lands managed by the Michigan Department of Natural Resources Forest Resources Division and Wildlife Division that are open to public hunting. Please double check with the appropriate agency for specific rules, regulations, and restrictions.",hunting###hunting land###dnr,Michigan,economy,http://gis.michigan.opendata.arcgis.com/datasets/403b88ca6cc443a59e54eb28e4f4de98_5.zip,http://gis.michigan.opendata.arcgis.com/datasets/403b88ca6cc443a59e54eb28e4f4de98_5,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrHuntableLands/MapServer/5,,Shapefile shapefile,12/10/15,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,StateForestWildlifeandGameAreasOpentoHunting
http://gis.michigan.opendata.arcgis.com/datasets/a54ba77223a641f48c0cbabe7da4a190_8,168568,"State Owned Roads: Michigan, 2015",State owned roads from the Michigan Geographic Framework (MGF) base map. ,trunkline###michigan###michigan geographic framework###freeways###mgf###highways###transportation,Michigan,transportationintelligenceMilitary,http://gis.michigan.opendata.arcgis.com/datasets/a54ba77223a641f48c0cbabe7da4a190_8.zip,http://gis.michigan.opendata.arcgis.com/datasets/a54ba77223a641f48c0cbabe7da4a190_8,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/michigan_geographic_framework/MapServer/8,,Shapefile shapefile,3/3/15,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,StateOwnedRoads
http://gis.michigan.opendata.arcgis.com/datasets/3e28c59c21de444dabf083283e38f5f2_6,168567,"State Parks Huntable Lands: Michigan, 2015","State Parks Open to Hunting includes lands managed by the Michigan Department of Natural Resources Parks and Recreation Division that are open to public hunting. Please double check with the appropriate agency for specific rules, regulations, and restrictions.",hunting###hunting land###dnr,Michigan,economy,http://gis.michigan.opendata.arcgis.com/datasets/3e28c59c21de444dabf083283e38f5f2_6.zip,http://gis.michigan.opendata.arcgis.com/datasets/3e28c59c21de444dabf083283e38f5f2_6,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrHuntableLands/MapServer/6,,Shapefile shapefile,12/10/15,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,StateParksHuntableLands
http://gis.michigan.opendata.arcgis.com/datasets/15e877c2147241b0a116ccd5bf329d0d_5,168566,"Stream Rivers Assessment Units: Michigan, 2015",This dataset contains information about Michigan Stream Rivers Assessment Units.,hydro###michigan,Michigan,geoscientificInformationinlandWaters,http://gis.michigan.opendata.arcgis.com/datasets/15e877c2147241b0a116ccd5bf329d0d_5.zip,http://gis.michigan.opendata.arcgis.com/datasets/15e877c2147241b0a116ccd5bf329d0d_5,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/5,,Shapefile shapefile,3/3/15,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,StreamRiversAssessmentUnits
http://gis.michigan.opendata.arcgis.com/datasets/d4ed229624bd4f24896433a6994eb7b6_31,168570,"Spruce Budworm 2015: Michigan, 2016",Spruce Budworm 2015 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,dnr###forestry,Michigan,economy,http://gis.michigan.opendata.arcgis.com/datasets/d4ed229624bd4f24896433a6994eb7b6_31.zip,http://gis.michigan.opendata.arcgis.com/datasets/d4ed229624bd4f24896433a6994eb7b6_31,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestPlanning/MapServer/31,,Shapefile shapefile,1/22/16,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,SpruceBudworm2015
http://gis.michigan.opendata.arcgis.com/datasets/6e2557fee97f44a5802b0cc70a9f1e6f_28,168573,"Spruce Budworm 2012: Michigan, 2015",Spruce Budworm 2012 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,dnr###forestry,Michigan,economy,http://gis.michigan.opendata.arcgis.com/datasets/6e2557fee97f44a5802b0cc70a9f1e6f_28.zip,http://gis.michigan.opendata.arcgis.com/datasets/6e2557fee97f44a5802b0cc70a9f1e6f_28,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestPlanning/MapServer/28,,Shapefile shapefile,12/10/15,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,SpruceBudworm2012
http://gis.michigan.opendata.arcgis.com/datasets/4ddd5955087e477588c64b2c78779b3c_29,168572,"Spruce Budworm 2013: Michigan, 2015",Spruce Budworm 2013 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,dnr###forestry,Michigan,economy,http://gis.michigan.opendata.arcgis.com/datasets/4ddd5955087e477588c64b2c78779b3c_29.zip,http://gis.michigan.opendata.arcgis.com/datasets/4ddd5955087e477588c64b2c78779b3c_29,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestPlanning/MapServer/29,,Shapefile shapefile,12/10/15,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,SpruceBudworm2013
http://gis.michigan.opendata.arcgis.com/datasets/c2cc749ef68343baacf7476a897a1232_30,168571,"Spruce Budworm 2014: Michigan, 2015",Spruce Budworm 2014 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,dnr###forestry,Michigan,economy,http://gis.michigan.opendata.arcgis.com/datasets/c2cc749ef68343baacf7476a897a1232_30.zip,http://gis.michigan.opendata.arcgis.com/datasets/c2cc749ef68343baacf7476a897a1232_30,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestPlanning/MapServer/30,,Shapefile shapefile,12/10/15,,State of  Michigan GIS Open Data,State of  Michigan GIS Open Data,SpruceBudworm2014
